"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (59-58-19-15-11-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (59-58-19-15-11-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (58-26-04-06-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (58-26-04-06-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (54-45-08-31-12-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (54-45-08-31-12-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (54-34-23-14-12-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (54-34-23-14-12-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (53-44-05-08-12-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (53-44-05-08-12-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (44-18-03-04-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (44-18-03-04-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (43-25-12-26-12-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (43-25-12-26-12-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (38-03-06-12-11-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (38-03-06-12-11-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (34-41-01-06-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (34-41-01-06-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (29-48-03-06-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (29-48-03-06-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (28-45-19-05-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (28-45-19-05-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (23-07-16-04-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (23-07-16-04-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (19-07-04-05-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (19-07-04-05-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (17-43-22-04-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (17-43-22-04-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (11-48-22-04-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (11-48-22-04-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (10-13-23-13-11-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (10-13-23-13-11-2015)","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A1IN903KTA0U8F","https://requester.mturk.com/workers/A1IN903KTA0U8F","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","50","","","","","","","","","","","","","","50","","","","50","","","","","","","","","","","","Never Blocked","",""
"A1IPVQC2H53A2T","https://requester.mturk.com/workers/A1IPVQC2H53A2T","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ISQWPY0S1OKQ","https://requester.mturk.com/workers/A1ISQWPY0S1OKQ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ISTY1F134XIU","https://requester.mturk.com/workers/A1ISTY1F134XIU","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1IYHQPPOACU83","https://requester.mturk.com/workers/A1IYHQPPOACU83","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1J6ZY4T833QWU","https://requester.mturk.com/workers/A1J6ZY4T833QWU","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1J96BVI6WCHPJ","https://requester.mturk.com/workers/A1J96BVI6WCHPJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JAANL5UR0OHQ","https://requester.mturk.com/workers/A1JAANL5UR0OHQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JBVR3YYEL3BO","https://requester.mturk.com/workers/A1JBVR3YYEL3BO","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JC7SXRVYEZRJ","https://requester.mturk.com/workers/A1JC7SXRVYEZRJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JFSYDMVDK3AP","https://requester.mturk.com/workers/A1JFSYDMVDK3AP","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A1JGZXPEAMXBCL","https://requester.mturk.com/workers/A1JGZXPEAMXBCL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JH50STB9BOB6","https://requester.mturk.com/workers/A1JH50STB9BOB6","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","50","","","","","","","","","","","","50","","50","","","","50","","","","50","","50","","50","","50","","Never Blocked","",""
"A1JK0HJ94FAJ9S","https://requester.mturk.com/workers/A1JK0HJ94FAJ9S","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JKRJ38IOSNNF","https://requester.mturk.com/workers/A1JKRJ38IOSNNF","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JLJ0N3FVCKG6","https://requester.mturk.com/workers/A1JLJ0N3FVCKG6","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JNK18ZXH7FTK","https://requester.mturk.com/workers/A1JNK18ZXH7FTK","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JRDVIWSHBLSO","https://requester.mturk.com/workers/A1JRDVIWSHBLSO","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","50","","50","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A1JSR6LN98YZ9M","https://requester.mturk.com/workers/A1JSR6LN98YZ9M","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JUKBY3NQH74W","https://requester.mturk.com/workers/A1JUKBY3NQH74W","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1JV64BL3WCK0G","https://requester.mturk.com/workers/A1JV64BL3WCK0G","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1K1CWYT0E6VYP","https://requester.mturk.com/workers/A1K1CWYT0E6VYP","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1K4XPEVLOPHJ9","https://requester.mturk.com/workers/A1K4XPEVLOPHJ9","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KAHKAF27D5EY","https://requester.mturk.com/workers/A1KAHKAF27D5EY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KEAZ6DN82SAA","https://requester.mturk.com/workers/A1KEAZ6DN82SAA","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KFGU5623A7H","https://requester.mturk.com/workers/A1KFGU5623A7H","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KFP5MDIL0QN1","https://requester.mturk.com/workers/A1KFP5MDIL0QN1","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KGOZ19S80UKO","https://requester.mturk.com/workers/A1KGOZ19S80UKO","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KHF6KTBO6X1P","https://requester.mturk.com/workers/A1KHF6KTBO6X1P","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KHXL1XZV1MLO","https://requester.mturk.com/workers/A1KHXL1XZV1MLO","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KI6G9T7B0QDY","https://requester.mturk.com/workers/A1KI6G9T7B0QDY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KLPAMHXYZR8Y","https://requester.mturk.com/workers/A1KLPAMHXYZR8Y","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KNXGY7RC7IP9","https://requester.mturk.com/workers/A1KNXGY7RC7IP9","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KPJHQQMGU8PL","https://requester.mturk.com/workers/A1KPJHQQMGU8PL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KQ2BLBHC0BHW","https://requester.mturk.com/workers/A1KQ2BLBHC0BHW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KQGF9L042R9I","https://requester.mturk.com/workers/A1KQGF9L042R9I","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KQXWVXON9VF","https://requester.mturk.com/workers/A1KQXWVXON9VF","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KRD1VR6YNK80","https://requester.mturk.com/workers/A1KRD1VR6YNK80","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KSUIN3FSMEO8","https://requester.mturk.com/workers/A1KSUIN3FSMEO8","6","6","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KTCKJLZV1CM7","https://requester.mturk.com/workers/A1KTCKJLZV1CM7","2","2","100.00%","1","1","100.00%","1","1","100.00%","","","50","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KTUXY14G88WA","https://requester.mturk.com/workers/A1KTUXY14G88WA","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KW74TBAECUD9","https://requester.mturk.com/workers/A1KW74TBAECUD9","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KZ0KE93WNN5O","https://requester.mturk.com/workers/A1KZ0KE93WNN5O","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1KZVB7LJAEEWB","https://requester.mturk.com/workers/A1KZVB7LJAEEWB","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1L0F1APGCV3I4","https://requester.mturk.com/workers/A1L0F1APGCV3I4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1L1Z4DWR0QELL","https://requester.mturk.com/workers/A1L1Z4DWR0QELL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1L23ODW6DPJTT","https://requester.mturk.com/workers/A1L23ODW6DPJTT","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1L4E1MWHO3BU5","https://requester.mturk.com/workers/A1L4E1MWHO3BU5","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A1L6X6M0Q4F5PU","https://requester.mturk.com/workers/A1L6X6M0Q4F5PU","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1LCAYV8WC2W4G","https://requester.mturk.com/workers/A1LCAYV8WC2W4G","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1LCWU44OSHK9G","https://requester.mturk.com/workers/A1LCWU44OSHK9G","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1LDT68X47714Z","https://requester.mturk.com/workers/A1LDT68X47714Z","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1LFSWMIP0U8OH","https://requester.mturk.com/workers/A1LFSWMIP0U8OH","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","50","","","","","","","","","","","","","","50","","","","50","","","","","","","","","","","","Never Blocked","",""
"A1LGYP99D20ME4","https://requester.mturk.com/workers/A1LGYP99D20ME4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1LM4HDWAPEY81","https://requester.mturk.com/workers/A1LM4HDWAPEY81","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A1LON3T8Q6BROL","https://requester.mturk.com/workers/A1LON3T8Q6BROL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1LP36RSTVUUCQ","https://requester.mturk.com/workers/A1LP36RSTVUUCQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A1LP4LE8JTSRW6","https://requester.mturk.com/workers/A1LP4LE8JTSRW6","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1LXNPXGTDUD1Y","https://requester.mturk.com/workers/A1LXNPXGTDUD1Y","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1M2KLFMC3A62G","https://requester.mturk.com/workers/A1M2KLFMC3A62G","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1M4UJ9M6HM9AU","https://requester.mturk.com/workers/A1M4UJ9M6HM9AU","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1M9DKI1CPKKTC","https://requester.mturk.com/workers/A1M9DKI1CPKKTC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MA5E7XM7450V","https://requester.mturk.com/workers/A1MA5E7XM7450V","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MASGYQKKZO2K","https://requester.mturk.com/workers/A1MASGYQKKZO2K","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MB16JX03MXES","https://requester.mturk.com/workers/A1MB16JX03MXES","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MFV64P328V8U","https://requester.mturk.com/workers/A1MFV64P328V8U","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A1MHJGVGQKPGOG","https://requester.mturk.com/workers/A1MHJGVGQKPGOG","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","50","","","","","","","","","","","","","","50","","","","50","","","","50","","50","","50","","","","Never Blocked","",""
"A1MJVTR0PCKBWW","https://requester.mturk.com/workers/A1MJVTR0PCKBWW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ML3XP08SE3N2","https://requester.mturk.com/workers/A1ML3XP08SE3N2","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MN77S64GJXAH","https://requester.mturk.com/workers/A1MN77S64GJXAH","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MQ9B05ZMM4YI","https://requester.mturk.com/workers/A1MQ9B05ZMM4YI","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MUDJIK7VV15W","https://requester.mturk.com/workers/A1MUDJIK7VV15W","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MUGWHTR87IRQ","https://requester.mturk.com/workers/A1MUGWHTR87IRQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MW350A7ECNSJ","https://requester.mturk.com/workers/A1MW350A7ECNSJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MX4FXNOQDN7P","https://requester.mturk.com/workers/A1MX4FXNOQDN7P","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1MZ3FT1VDHWXS","https://requester.mturk.com/workers/A1MZ3FT1VDHWXS","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1N0QAID4YE2LD","https://requester.mturk.com/workers/A1N0QAID4YE2LD","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1N0YUC1DHQ40B","https://requester.mturk.com/workers/A1N0YUC1DHQ40B","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1N4P4XGQM7NXE","https://requester.mturk.com/workers/A1N4P4XGQM7NXE","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1N7MJ7H9ZFEM6","https://requester.mturk.com/workers/A1N7MJ7H9ZFEM6","13","13","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1N84E64VEYY22","https://requester.mturk.com/workers/A1N84E64VEYY22","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1N8LER6GVYPG8","https://requester.mturk.com/workers/A1N8LER6GVYPG8","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NBY0HAJ3146","https://requester.mturk.com/workers/A1NBY0HAJ3146","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NCQW4A8MHSI4","https://requester.mturk.com/workers/A1NCQW4A8MHSI4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NCWY01WAAP2K","https://requester.mturk.com/workers/A1NCWY01WAAP2K","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NFBKUYYVUYWF","https://requester.mturk.com/workers/A1NFBKUYYVUYWF","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NGXQMOBCXDC3","https://requester.mturk.com/workers/A1NGXQMOBCXDC3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","50","","","","","","","","","","","","","","50","","","","50","","","","50","","50","","50","","","","Never Blocked","",""
"A1NITBXDX8TN7T","https://requester.mturk.com/workers/A1NITBXDX8TN7T","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NITMHYG5YL3H","https://requester.mturk.com/workers/A1NITMHYG5YL3H","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NJDECAFAC36L","https://requester.mturk.com/workers/A1NJDECAFAC36L","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NJG7PNYEAMUF","https://requester.mturk.com/workers/A1NJG7PNYEAMUF","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NJLB4WZ0PRJT","https://requester.mturk.com/workers/A1NJLB4WZ0PRJT","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A1NN1PI53A4CRF","https://requester.mturk.com/workers/A1NN1PI53A4CRF","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NNI8EB5YIZMQ","https://requester.mturk.com/workers/A1NNI8EB5YIZMQ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NSV7G1IE5XO","https://requester.mturk.com/workers/A1NSV7G1IE5XO","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1NSWJKFJIZ06J","https://requester.mturk.com/workers/A1NSWJKFJIZ06J","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1O01WK02MFCV3","https://requester.mturk.com/workers/A1O01WK02MFCV3","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A1O0G56C5OLEX9","https://requester.mturk.com/workers/A1O0G56C5OLEX9","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1O0QLF543UTYK","https://requester.mturk.com/workers/A1O0QLF543UTYK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","50","","","","","","","","","","","","","","50","","","","50","","50","","50","","50","","50","","","","Never Blocked","",""
"A1O36EO0CXIVDD","https://requester.mturk.com/workers/A1O36EO0CXIVDD","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1O4CV5PKWPUD0","https://requester.mturk.com/workers/A1O4CV5PKWPUD0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OAOX7DKP029P","https://requester.mturk.com/workers/A1OAOX7DKP029P","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OBWGLS5LRLT3","https://requester.mturk.com/workers/A1OBWGLS5LRLT3","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OC5NITQ0BA0I","https://requester.mturk.com/workers/A1OC5NITQ0BA0I","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OJVN3ECM55GB","https://requester.mturk.com/workers/A1OJVN3ECM55GB","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OKHQE34UFCL5","https://requester.mturk.com/workers/A1OKHQE34UFCL5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OKSIWOKUH6ET","https://requester.mturk.com/workers/A1OKSIWOKUH6ET","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1OPWMSYDGSE9Z","https://requester.mturk.com/workers/A1OPWMSYDGSE9Z","17","17","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","50","","","","","","50","","50","","","","","","","","","","","","","","","","50","","Never Blocked","",""
